Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Tamil Nadu,2.63,78.62,6.93
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Uttar Pradesh (East),0.75,99.44,8.55
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Uttar Pradesh (West),0.76,62.72,5.42
India,"Calendar Year (Jan - Dec), 2023","March, 2023",West Bengal,0.52,56.63,4.87
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Kolkata,0.87,24.08,2.13
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Delhi,4.03,54.48,4.99
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Mumbai,3.26,34.3,3.2
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Andhra Pradesh,2.39,82.61,7.27
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Assam,0.28,24.98,2.16
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Bihar,0.68,90.51,7.79
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Gujarat,1.2,65.92,5.74
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Haryana,0.44,26.57,2.31
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Himachal Pradesh,0.14,8.77,0.76
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Jammu & Kashmir,0.34,11.97,1.05
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Karnataka,3.08,66.07,5.91
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Kerala,1.36,42.53,3.75
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Madhya Pradesh,1.29,76.41,6.64
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Maharashtra,1.44,91.32,7.93
India,"Calendar Year (Jan - Dec), 2023","February, 2023",North East,0.21,12.23,1.06
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Odisha,0.39,33.05,2.86
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Punjab,1.18,35.67,3.15
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Rajasthan,0.82,63.41,5.49
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Tamil Nadu,2.59,78.57,6.94
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Uttar Pradesh (East),0.73,98.99,8.52
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Uttar Pradesh (West),0.74,62.79,5.43
