Country,Year,Month,Service Area,"Tele-Density Service Area-Wise (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2022","December, 2022",Gujarat,92.6
India,"Financial Year (Apr - Mar), 2022","December, 2022",Haryana,89.98
India,"Financial Year (Apr - Mar), 2022","December, 2022",Himachal Pradesh,130.36
India,"Financial Year (Apr - Mar), 2022","December, 2022",Jammu & Kashmir,89.25
India,"Financial Year (Apr - Mar), 2022","December, 2022",Karnataka,102.53
India,"Financial Year (Apr - Mar), 2022","December, 2022",Kerala,122.4
India,"Financial Year (Apr - Mar), 2022","December, 2022",Madhya Pradesh,66.5
India,"Financial Year (Apr - Mar), 2022","December, 2022",Maharashtra,92.65
India,"Financial Year (Apr - Mar), 2022","December, 2022",North East,78.42
India,"Financial Year (Apr - Mar), 2022","December, 2022",Odisha,76.04
India,"Financial Year (Apr - Mar), 2022","December, 2022",Punjab,115.7
India,"Financial Year (Apr - Mar), 2022","December, 2022",Rajasthan,79.05
India,"Financial Year (Apr - Mar), 2022","December, 2022",Tamil Nadu,103.23
India,"Financial Year (Apr - Mar), 2022","December, 2022",Uttar Pradesh,66.53
India,"Financial Year (Apr - Mar), 2022","December, 2022",West Bengal,69.01
India,"Financial Year (Apr - Mar), 2022","December, 2022",Kolkata,140.78
India,"Financial Year (Apr - Mar), 2022","December, 2022",Delhi,271.85
India,"Financial Year (Apr - Mar), 2022","December, 2022",Mumbai,135.41
India,"Financial Year (Apr - Mar), 2022","November, 2022",Andhra Pradesh,92.81
India,"Financial Year (Apr - Mar), 2022","November, 2022",Assam,69.74
India,"Financial Year (Apr - Mar), 2022","November, 2022",Bihar,55.44
India,"Financial Year (Apr - Mar), 2022","November, 2022",Gujarat,92.91
India,"Financial Year (Apr - Mar), 2022","November, 2022",Haryana,90.2
India,"Financial Year (Apr - Mar), 2022","November, 2022",Himachal Pradesh,132.81
India,"Financial Year (Apr - Mar), 2022","November, 2022",Jammu & Kashmir,89.26
India,"Financial Year (Apr - Mar), 2022","November, 2022",Karnataka,102.48
India,"Financial Year (Apr - Mar), 2022","November, 2022",Kerala,122.51
India,"Financial Year (Apr - Mar), 2022","November, 2022",Madhya Pradesh,66.48
India,"Financial Year (Apr - Mar), 2022","November, 2022",Maharashtra,92.38
India,"Financial Year (Apr - Mar), 2022","November, 2022",North East,78.43
India,"Financial Year (Apr - Mar), 2022","November, 2022",Odisha,75.92
India,"Financial Year (Apr - Mar), 2022","November, 2022",Punjab,115.49
India,"Financial Year (Apr - Mar), 2022","November, 2022",Rajasthan,78.87
India,"Financial Year (Apr - Mar), 2022","November, 2022",Tamil Nadu,102.97
India,"Financial Year (Apr - Mar), 2022","November, 2022",Uttar Pradesh,66.9
India,"Financial Year (Apr - Mar), 2022","November, 2022",West Bengal,69.19
India,"Financial Year (Apr - Mar), 2022","November, 2022",Kolkata,140.76
India,"Financial Year (Apr - Mar), 2022","November, 2022",Delhi,270.62
India,"Financial Year (Apr - Mar), 2022","November, 2022",Mumbai,135.33
India,"Financial Year (Apr - Mar), 2022","October, 2022",Andhra Pradesh,93.17
India,"Financial Year (Apr - Mar), 2022","October, 2022",Assam,69.63
India,"Financial Year (Apr - Mar), 2022","October, 2022",Bihar,55.37
India,"Financial Year (Apr - Mar), 2022","October, 2022",Gujarat,93.05
India,"Financial Year (Apr - Mar), 2022","October, 2022",Haryana,90.1
India,"Financial Year (Apr - Mar), 2022","October, 2022",Himachal Pradesh,133.43
India,"Financial Year (Apr - Mar), 2022","October, 2022",Jammu & Kashmir,89.33
India,"Financial Year (Apr - Mar), 2022","October, 2022",Karnataka,101.72
India,"Financial Year (Apr - Mar), 2022","October, 2022",Kerala,122.42
India,"Financial Year (Apr - Mar), 2022","October, 2022",Madhya Pradesh,66.82
India,"Financial Year (Apr - Mar), 2022","October, 2022",Maharashtra,92.58
India,"Financial Year (Apr - Mar), 2022","October, 2022",North East,78.59
India,"Financial Year (Apr - Mar), 2022","October, 2022",Odisha,75.71
India,"Financial Year (Apr - Mar), 2022","October, 2022",Punjab,115.86
India,"Financial Year (Apr - Mar), 2022","October, 2022",Rajasthan,79.07
India,"Financial Year (Apr - Mar), 2022","October, 2022",Tamil Nadu,102.36
India,"Financial Year (Apr - Mar), 2022","October, 2022",Uttar Pradesh,67.21
India,"Financial Year (Apr - Mar), 2022","October, 2022",West Bengal,69.43
India,"Financial Year (Apr - Mar), 2022","October, 2022",Kolkata,140.66
India,"Financial Year (Apr - Mar), 2022","October, 2022",Delhi,269.76
India,"Financial Year (Apr - Mar), 2022","October, 2022",Mumbai,136.09
India,"Financial Year (Apr - Mar), 2022","September, 2022",Andhra Pradesh,93.17
India,"Financial Year (Apr - Mar), 2022","September, 2022",Assam,69.41
India,"Financial Year (Apr - Mar), 2022","September, 2022",Bihar,55.36
India,"Financial Year (Apr - Mar), 2022","September, 2022",Gujarat,93.54
India,"Financial Year (Apr - Mar), 2022","September, 2022",Haryana,90.28
India,"Financial Year (Apr - Mar), 2022","September, 2022",Himachal Pradesh,133.29
India,"Financial Year (Apr - Mar), 2022","September, 2022",Jammu & Kashmir,89.36
India,"Financial Year (Apr - Mar), 2022","September, 2022",Karnataka,101.71
India,"Financial Year (Apr - Mar), 2022","September, 2022",Kerala,123.02
India,"Financial Year (Apr - Mar), 2022","September, 2022",Madhya Pradesh,67.1
India,"Financial Year (Apr - Mar), 2022","September, 2022",Maharashtra,92.86
India,"Financial Year (Apr - Mar), 2022","September, 2022",North East,78.51
India,"Financial Year (Apr - Mar), 2022","September, 2022",Odisha,75.56
India,"Financial Year (Apr - Mar), 2022","September, 2022",Punjab,115.66
India,"Financial Year (Apr - Mar), 2022","September, 2022",Rajasthan,79.48
India,"Financial Year (Apr - Mar), 2022","September, 2022",Tamil Nadu,102.49
India,"Financial Year (Apr - Mar), 2022","September, 2022",Uttar Pradesh,67.53
India,"Financial Year (Apr - Mar), 2022","September, 2022",West Bengal,69.76
India,"Financial Year (Apr - Mar), 2022","September, 2022",Kolkata,141.14
India,"Financial Year (Apr - Mar), 2022","September, 2022",Delhi,269.44
India,"Financial Year (Apr - Mar), 2022","September, 2022",Mumbai,136.0
India,"Financial Year (Apr - Mar), 2022","August, 2022",Andhra Pradesh,93.84
India,"Financial Year (Apr - Mar), 2022","August, 2022",Assam,69.26
India,"Financial Year (Apr - Mar), 2022","August, 2022",Bihar,55.11
India,"Financial Year (Apr - Mar), 2022","August, 2022",Gujarat,94.39
India,"Financial Year (Apr - Mar), 2022","August, 2022",Haryana,90.1
India,"Financial Year (Apr - Mar), 2022","August, 2022",Himachal Pradesh,133.18
India,"Financial Year (Apr - Mar), 2022","August, 2022",Jammu & Kashmir,88.86
India,"Financial Year (Apr - Mar), 2022","August, 2022",Karnataka,101.2
India,"Financial Year (Apr - Mar), 2022","August, 2022",Kerala,123.24
India,"Financial Year (Apr - Mar), 2022","August, 2022",Madhya Pradesh,67.83
India,"Financial Year (Apr - Mar), 2022","August, 2022",Maharashtra,93.33
India,"Financial Year (Apr - Mar), 2022","August, 2022",North East,78.28
India,"Financial Year (Apr - Mar), 2022","August, 2022",Odisha,75.44
India,"Financial Year (Apr - Mar), 2022","August, 2022",Punjab,117.31
India,"Financial Year (Apr - Mar), 2022","August, 2022",Rajasthan,79.66
India,"Financial Year (Apr - Mar), 2022","August, 2022",Tamil Nadu,102.71
India,"Financial Year (Apr - Mar), 2022","August, 2022",Uttar Pradesh,68.08
India,"Financial Year (Apr - Mar), 2022","August, 2022",West Bengal,70.03
India,"Financial Year (Apr - Mar), 2022","August, 2022",Kolkata,141.78
India,"Financial Year (Apr - Mar), 2022","August, 2022",Delhi,268.5
India,"Financial Year (Apr - Mar), 2022","August, 2022",Mumbai,136.58
India,"Financial Year (Apr - Mar), 2022","July, 2022",Andhra Pradesh,93.65
India,"Financial Year (Apr - Mar), 2022","July, 2022",Assam,69.12
India,"Financial Year (Apr - Mar), 2022","July, 2022",Bihar,54.69
India,"Financial Year (Apr - Mar), 2022","July, 2022",Gujarat,94.64
India,"Financial Year (Apr - Mar), 2022","July, 2022",Haryana,90.6
India,"Financial Year (Apr - Mar), 2022","July, 2022",Himachal Pradesh,133.42
India,"Financial Year (Apr - Mar), 2022","July, 2022",Jammu & Kashmir,88.19
India,"Financial Year (Apr - Mar), 2022","July, 2022",Karnataka,101.13
India,"Financial Year (Apr - Mar), 2022","July, 2022",Kerala,123.44
India,"Financial Year (Apr - Mar), 2022","July, 2022",Madhya Pradesh,67.8
India,"Financial Year (Apr - Mar), 2022","July, 2022",Maharashtra,93.46
India,"Financial Year (Apr - Mar), 2022","July, 2022",North East,77.97
India,"Financial Year (Apr - Mar), 2022","July, 2022",Odisha,75.23
India,"Financial Year (Apr - Mar), 2022","July, 2022",Punjab,117.43
India,"Financial Year (Apr - Mar), 2022","July, 2022",Rajasthan,79.53
India,"Financial Year (Apr - Mar), 2022","July, 2022",Tamil Nadu,102.92
India,"Financial Year (Apr - Mar), 2022","July, 2022",Uttar Pradesh,68.12
India,"Financial Year (Apr - Mar), 2022","July, 2022",West Bengal,69.85
India,"Financial Year (Apr - Mar), 2022","July, 2022",Kolkata,142.5
India,"Financial Year (Apr - Mar), 2022","July, 2022",Delhi,267.85
India,"Financial Year (Apr - Mar), 2022","July, 2022",Mumbai,137.13
India,"Financial Year (Apr - Mar), 2022","June, 2022",Andhra Pradesh,93.72
India,"Financial Year (Apr - Mar), 2022","June, 2022",Assam,68.6
India,"Financial Year (Apr - Mar), 2022","June, 2022",Bihar,54.31
India,"Financial Year (Apr - Mar), 2022","June, 2022",Gujarat,94.91
India,"Financial Year (Apr - Mar), 2022","June, 2022",Haryana,91.71
India,"Financial Year (Apr - Mar), 2022","June, 2022",Himachal Pradesh,133.13
India,"Financial Year (Apr - Mar), 2022","June, 2022",Jammu & Kashmir,87.07
India,"Financial Year (Apr - Mar), 2022","June, 2022",Karnataka,100.86
