state,year,hhi
Jammu And Kashmir,2017,2022.2894199372163
Jammu And Kashmir,2018,2796.1898303448816
Jammu And Kashmir,2019,3490.314730236712
Jammu And Kashmir,2020,3770.9871959687307
Jammu And Kashmir,2021,3796.3713109110513
Jharkhand,2008,2497.1142713239346
Jharkhand,2009,2097.854191449811
Jharkhand,2010,1646.1767454032683
Jharkhand,2011,1501.657173549812
Jharkhand,2012,1540.5559102160755
Jharkhand,2013,1832.6022284691096
Jharkhand,2014,1949.8157164053214
Jharkhand,2015,1980.7446503680576
Jharkhand,2016,2105.412933260354
Jharkhand,2017,1989.9842986034196
Jharkhand,2018,2490.918019964939
Jharkhand,2019,3201.4868871608187
Jharkhand,2020,3293.2090975285255
Jharkhand,2021,3381.7679279650865
Karnataka,2008,2628.5831710899774
Karnataka,2009,2356.6373310828426
Karnataka,2010,1888.7043435808425
Karnataka,2011,1671.1785418902732
Karnataka,2012,1610.4236773449418
Karnataka,2013,1740.9375803166263
Karnataka,2014,1776.3380785450092
Karnataka,2015,1875.643394135609
Karnataka,2016,1866.851756414571
Karnataka,2017,1781.253600182444
Karnataka,2018,2211.555277164497
Karnataka,2019,2878.7852904683773
Karnataka,2020,3125.951155104776
Karnataka,2021,3263.4884037856727
Kerala,2008,1917.122315759499
Kerala,2009,1798.0359801124469
Kerala,2010,1530.454612436358
Kerala,2011,1490.262465372712
Kerala,2012,1613.708720173086
Kerala,2013,2011.3198841111746
Kerala,2014,2119.9556288273507
Kerala,2015,2141.0863684636074
Kerala,2016,2109.1675284562166
Kerala,2017,1985.2932061402812
Kerala,2018,1778.44009122583
Kerala,2019,3111.024983284092
Kerala,2020,2883.1698091003564
Kerala,2021,2782.329128620538
Ladakh,2008,3743.6762388638776
Ladakh,2009,3015.4202953901254
Ladakh,2010,2705.4466438836416
Ladakh,2011,2348.059440634748
Ladakh,2012,2266.2744230190033
Ladakh,2013,2375.040857522181
Ladakh,2014,2292.2253788687344
Ladakh,2015,2263.225003775698
Ladakh,2016,2208.708095675122
Ladakh,2017,2022.2894199372163
Ladakh,2018,2796.1898303448806
Ladakh,2019,3490.314730236711
Ladakh,2020,3770.987195968731
Ladakh,2021,3796.3713109110518
Lakshadweep,2008,1917.122315759499
